0,12
0,17
0,35
0,36
1,5
1,11
2,4
2,7
2,8
2,10
2,15
2,18
2,22
2,23
2,25
2,26
2,27
2,29
2,30
2,31
2,33
3,34
4,6
4,7
4,8
4,10
4,22
4,23
4,25
4,29
4,30
4,31
4,33
6,7
6,10
6,13
6,22
6,25
6,28
6,29
6,31
7,8
7,25
8,10
8,22
8,23
8,25
8,29
8,30
8,31
8,33
8,37
9,17
10,13
10,15
10,19
10,20
10,22
10,23
10,25
10,28
10,29
10,30
10,31
13,20
13,25
13,28
13,29
14,21
15,22
15,27
15,31
15,34
16,20
19,25
19,29
20,25
20,29
22,23
22,25
22,27
22,29
22,30
22,31
22,37
23,27
23,29
23,30
23,31
23,37
24,32
25,26
25,28
25,29
25,31
26,29
27,30
28,29
29,31
30,31
